epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.008,1.80765,5.49242,1.86183,0.00572,0.47879,0.12501,0.06688,1.63728,6.03626,2.04539,0.00019998,0.00019998,0.00019998
2,652.444,1.50566,4.41843,1.54406,0.00553,0.5899,0.18327,0.11031,1.59678,5.6244,1.88262,0.000397505,0.000397505,0.000397505
3,977.805,1.52532,4.1505,1.47393,0.00449,0.62626,0.25421,0.16668,1.85525,5.50449,1.79999,0.000581097,0.000581097,0.000581097
4,1300.77,1.46248,3.96738,1.44208,0.63497,0.18994,0.2406,0.1681,1.92784,5.35379,2.07022,0.000750758,0.000750758,0.000750758
5,1624.2,1.59186,3.80693,1.53796,0.564,0.33333,0.20236,0.12167,1.93929,5.20822,2.05904,0.000906487,0.000906487,0.000906487
6,1961.78,1.59076,3.8299,1.51529,0.84924,0.21944,0.26144,0.1738,1.68843,4.77076,1.68807,0.000927685,0.000927685,0.000927685
7,2290.45,1.49098,3.5333,1.45416,0.75726,0.32525,0.31255,0.20266,1.84946,4.55979,1.85534,0.000891022,0.000891022,0.000891022
8,2614.87,1.48125,3.22888,1.36288,0.73608,0.3233,0.31832,0.20863,2.00438,4.84222,2.10054,0.000854359,0.000854359,0.000854359
9,2943.7,1.39,3.25854,1.40763,0.66803,0.34505,0.31065,0.2033,1.47935,4.09676,1.47652,0.000817696,0.000817696,0.000817696
10,3269.7,1.39704,3.12844,1.38362,0.57174,0.30707,0.29875,0.19627,1.55731,4.05925,1.48355,0.000781033,0.000781033,0.000781033
11,3598.4,1.45094,3.17358,1.37045,0.41555,0.39929,0.34774,0.22691,1.52498,3.91879,1.47249,0.00074437,0.00074437,0.00074437
12,3938.21,1.32256,3.05457,1.33375,0.79967,0.35442,0.35839,0.22163,1.39583,3.51218,1.43204,0.000707707,0.000707707,0.000707707
13,4270.9,1.3748,2.90581,1.37999,0.54365,0.42005,0.3747,0.23758,1.72931,3.42728,1.70909,0.000671044,0.000671044,0.000671044
14,4614.23,1.26644,2.71133,1.26712,0.56416,0.35758,0.39691,0.24817,1.57852,3.54144,1.57041,0.000634381,0.000634381,0.000634381
15,4973.45,1.2587,2.68313,1.27355,0.54044,0.3821,0.38393,0.2591,1.37899,3.5445,1.41293,0.000597718,0.000597718,0.000597718
16,5385.03,1.24801,2.51295,1.2782,0.53983,0.42828,0.38287,0.25156,1.63247,3.39687,1.60264,0.000561055,0.000561055,0.000561055
17,5720,1.29897,2.60227,1.29629,0.55535,0.4038,0.45601,0.26882,1.45247,3.17768,1.45187,0.000524392,0.000524392,0.000524392
18,6070.85,1.25503,2.63277,1.2763,0.45859,0.48283,0.46281,0.29855,1.43411,3.13391,1.4818,0.000487729,0.000487729,0.000487729
19,6417.01,1.20276,2.47052,1.24639,0.31353,0.42424,0.41217,0.2719,1.33784,3.00041,1.42037,0.000451066,0.000451066,0.000451066
20,6776.77,1.25409,2.5199,1.29197,0.34847,0.41616,0.39297,0.25165,1.33862,3.00356,1.40562,0.000414403,0.000414403,0.000414403
21,7088.62,1.1953,2.97815,1.28574,0.52265,0.40398,0.39799,0.27162,1.55723,3.24625,1.50183,0.00037774,0.00037774,0.00037774
22,7445.1,1.17226,2.90184,1.24774,0.85829,0.34297,0.41835,0.25628,1.55428,3.32519,1.54512,0.000341077,0.000341077,0.000341077
23,7755.76,1.14945,2.9463,1.24011,0.32008,0.42573,0.48842,0.29783,1.38594,2.96376,1.43541,0.000304414,0.000304414,0.000304414
24,8082.09,1.07744,2.74742,1.21095,0.44168,0.56149,0.52474,0.30768,1.50616,2.918,1.49891,0.000267751,0.000267751,0.000267751
25,8389.2,1.10779,2.7085,1.19694,0.86352,0.39859,0.4529,0.26249,1.58162,2.92135,1.55756,0.000231088,0.000231088,0.000231088
26,8706.4,1.08314,2.66421,1.24166,0.4049,0.57276,0.4508,0.28222,1.36932,3.1398,1.42913,0.000194425,0.000194425,0.000194425
27,9024.76,1.08519,2.70377,1.21362,0.44435,0.59382,0.43743,0.29799,1.36688,2.91814,1.40996,0.000157762,0.000157762,0.000157762
28,9348.75,1.03048,2.56008,1.16216,0.39036,0.60606,0.47318,0.31786,1.32361,2.77584,1.36448,0.000121099,0.000121099,0.000121099
29,9658.87,1.04719,2.57268,1.15014,0.37392,0.60606,0.44362,0.29399,1.31066,2.7203,1.35195,8.4436e-05,8.4436e-05,8.4436e-05
30,9973.58,1.04018,2.5128,1.19899,0.35493,0.60606,0.46277,0.29287,1.30291,2.74429,1.348,4.7773e-05,4.7773e-05,4.7773e-05
