epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,584.728,1.66675,4.03313,1.5737,0.62333,0.17952,0.20611,0.12557,1.75549,4.03106,1.62176,0.00036526,0.00036526,0.00036526
2,1160.46,1.57431,3.25899,1.46075,0.67076,0.24773,0.26881,0.17177,1.33528,3.12291,1.27547,0.000699182,0.000699182,0.000699182
3,1739.43,1.57938,2.99882,1.40595,0.67506,0.26444,0.23342,0.13418,1.48967,3.55086,1.3728,0.00099644,0.00099644,0.00099644
4,2305.45,1.58717,2.82897,1.45006,0.67237,0.34109,0.3396,0.19615,1.58157,3.34684,1.42078,0.000946016,0.000946016,0.000946016
5,2861.12,1.51096,2.56788,1.38176,0.66047,0.29899,0.30809,0.22047,1.27373,2.57894,1.32473,0.000891022,0.000891022,0.000891022
6,3438.93,1.51568,2.49485,1.38941,0.90556,0.25455,0.31936,0.18489,1.62046,3.04353,1.48014,0.000836027,0.000836027,0.000836027
7,4054.09,1.46677,2.23264,1.33829,0.5735,0.30303,0.31708,0.16815,1.89393,2.50924,1.78866,0.000781033,0.000781033,0.000781033
8,4719.97,1.42777,2.12332,1.32369,0.42966,0.31706,0.36857,0.22402,1.26202,2.05375,1.27097,0.000726038,0.000726038,0.000726038
9,5293.68,1.39014,2.01058,1.30398,0.72878,0.41212,0.41453,0.23812,1.30266,1.94729,1.25598,0.000671044,0.000671044,0.000671044
10,5794.36,1.41168,1.90916,1.30019,0.72242,0.34343,0.38729,0.2476,1.2721,1.91951,1.20428,0.000616049,0.000616049,0.000616049
11,6293.56,1.3718,2.05334,1.32171,0.74699,0.36647,0.3679,0.24024,1.38171,1.92912,1.30759,0.000561055,0.000561055,0.000561055
12,6810.08,1.30928,1.8949,1.27664,0.78918,0.33939,0.41876,0.23181,1.55847,1.7959,1.4022,0.00050606,0.00050606,0.00050606
13,7336.96,1.30695,1.78325,1.27006,0.74694,0.42455,0.3836,0.24722,1.3487,1.72727,1.27603,0.000451066,0.000451066,0.000451066
14,7868.32,1.26818,1.68293,1.23717,0.7679,0.41442,0.43569,0.25824,1.10701,1.55588,1.14526,0.000396071,0.000396071,0.000396071
15,8424.88,1.23703,1.60464,1.2072,0.77355,0.40048,0.39207,0.25397,1.12457,1.53044,1.1592,0.000341077,0.000341077,0.000341077
16,8960.94,1.21145,1.53496,1.20945,0.70588,0.39263,0.37936,0.25413,1.15054,1.58464,1.1776,0.000286083,0.000286083,0.000286083
17,9493.57,1.19247,1.47249,1.18421,0.75704,0.37212,0.39061,0.254,1.2231,1.52851,1.19035,0.000231088,0.000231088,0.000231088
18,10046.5,1.17379,1.40618,1.17169,0.76175,0.40202,0.38616,0.25812,1.10911,1.50681,1.13515,0.000176094,0.000176094,0.000176094
19,10599.1,1.14468,1.39192,1.14914,0.75566,0.39495,0.3965,0.25897,1.27278,1.60363,1.20303,0.000121099,0.000121099,0.000121099
20,11236.8,1.13385,1.34637,1.1606,0.7541,0.38384,0.39196,0.25967,1.19633,1.6418,1.18037,6.61045e-05,6.61045e-05,6.61045e-05
