epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,752.549,1.77856,5.29036,1.81122,0.00582,0.72727,0.19472,0.1223,1.38724,5.16066,1.45525,0.000361516,0.000361516,0.000361516
2,1501.24,1.63883,4.31088,1.65113,0.60031,0.27013,0.22976,0.14075,1.86899,4.71488,2.05661,0.000707698,0.000707698,0.000707698
3,2247.39,1.67573,4.2207,1.63475,0.71551,0.27677,0.26033,0.16495,1.7617,4.99792,1.88584,0.00102944,0.00102944,0.00102944
4,2996.01,1.65733,3.89345,1.62554,0.62326,0.21591,0.1813,0.1241,1.69558,6.15486,1.7437,0.00100101,0.00100101,0.00100101
5,3749.85,1.59691,3.61615,1.57497,0.63119,0.29495,0.28688,0.17673,2.07346,4.30477,2.2003,0.000964348,0.000964348,0.000964348
6,4495.65,1.59408,3.45032,1.56441,0.69298,0.33796,0.30333,0.17716,1.86005,4.75035,1.93354,0.000927685,0.000927685,0.000927685
7,5247.37,1.52039,3.25843,1.55522,0.71038,0.28081,0.27763,0.18087,1.81821,4.24128,2.16407,0.000891022,0.000891022,0.000891022
8,5996.61,1.5386,3.11783,1.52053,0.63285,0.27273,0.34064,0.21163,1.88173,3.89197,1.94111,0.000854359,0.000854359,0.000854359
9,6749.64,1.60226,3.06947,1.56386,0.72839,0.36162,0.35624,0.20645,1.78275,3.23804,1.87585,0.000817696,0.000817696,0.000817696
10,7493.74,1.50338,2.87554,1.49865,0.70579,0.38384,0.32052,0.21164,2.05186,3.07369,2.28016,0.000781033,0.000781033,0.000781033
11,8296.94,1.46875,2.68601,1.44435,0.65872,0.30909,0.32311,0.21169,1.88939,3.3848,1.80458,0.00074437,0.00074437,0.00074437
12,9269.07,1.48314,2.68825,1.45766,0.69443,0.44693,0.35835,0.2344,1.48277,2.89329,1.50407,0.000707707,0.000707707,0.000707707
13,10276.6,1.46813,2.49267,1.43805,0.63304,0.35149,0.35222,0.22179,1.46269,2.65989,1.45968,0.000671044,0.000671044,0.000671044
14,11176.8,1.45085,2.45762,1.41584,0.54696,0.58091,0.40517,0.25111,1.46547,2.62676,1.50164,0.000634381,0.000634381,0.000634381
15,12008.6,1.40053,2.37944,1.39884,0.75969,0.44242,0.39389,0.24112,1.3392,2.3666,1.40404,0.000597718,0.000597718,0.000597718
16,12826.8,1.37793,2.3277,1.39129,0.52442,0.46465,0.3661,0.22729,1.72896,2.60715,1.7485,0.000561055,0.000561055,0.000561055
17,13739.8,1.34558,2.2751,1.37071,0.766,0.44297,0.51994,0.26187,1.84005,2.3419,1.91928,0.000524392,0.000524392,0.000524392
18,14678.2,1.38765,2.19344,1.35476,0.75516,0.43838,0.48469,0.25188,1.49627,2.4353,1.55752,0.000487729,0.000487729,0.000487729
19,15523.2,1.38297,2.19821,1.39302,0.76501,0.47378,0.43048,0.25293,1.42781,2.28128,1.44172,0.000451066,0.000451066,0.000451066
20,16435.9,1.3213,2.03645,1.32793,0.80531,0.41212,0.48007,0.28758,1.40885,2.18612,1.41363,0.000414403,0.000414403,0.000414403
21,17336.7,1.29602,2.27086,1.36951,0.77591,0.41905,0.58554,0.28793,1.4734,2.2135,1.57034,0.00037774,0.00037774,0.00037774
22,18263.8,1.3319,2.25564,1.4021,0.82395,0.4202,0.60255,0.28882,1.32088,2.18492,1.37302,0.000341077,0.000341077,0.000341077
23,19148.8,1.29848,2.16413,1.38442,0.81116,0.45657,0.44868,0.2751,1.25875,1.93486,1.3618,0.000304414,0.000304414,0.000304414
24,19975.5,1.2805,2.06683,1.37946,0.76576,0.43838,0.40252,0.22973,1.5876,2.04548,1.77687,0.000267751,0.000267751,0.000267751
25,20748.1,1.20764,2.03555,1.32755,0.73494,0.46465,0.42064,0.25464,1.31376,2.04112,1.35685,0.000231088,0.000231088,0.000231088
26,21524.8,1.20278,1.95053,1.31155,0.81886,0.4362,0.44567,0.26637,1.30803,1.97867,1.36423,0.000194425,0.000194425,0.000194425
27,22265.5,1.1838,1.87719,1.3051,0.80649,0.43838,0.45521,0.26301,1.30226,1.97521,1.39197,0.000157762,0.000157762,0.000157762
28,23069.6,1.19466,1.87792,1.29669,0.79737,0.42739,0.43858,0.26903,1.26426,2.04042,1.33347,0.000121099,0.000121099,0.000121099
29,23871.2,1.15304,1.79662,1.26372,0.78158,0.4491,0.41613,0.26044,1.28803,2.0691,1.36073,8.4436e-05,8.4436e-05,8.4436e-05
30,24708.4,1.13941,1.82766,1.2573,0.78577,0.45008,0.43812,0.26784,1.30026,2.12274,1.37153,4.7773e-05,4.7773e-05,4.7773e-05
