epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,855.123,1.60009,3.92454,1.51232,0.81625,0.2427,0.27722,0.18648,1.41984,3.88801,1.45028,0.000365646,0.000365646,0.000365646
2,1626.28,1.50605,3.01753,1.38136,0.63409,0.28638,0.29167,0.16487,1.53624,3.8885,1.44588,0.000717763,0.000717763,0.000717763
3,2432.56,1.49838,2.74668,1.39049,0.7718,0.29738,0.33305,0.20569,1.43034,3.27771,1.49441,0.00105155,0.00105155,0.00105155
4,3213.32,1.49731,2.53841,1.39778,0.69311,0.35758,0.34215,0.21253,1.54135,2.89796,1.45661,0.00102851,0.00102851,0.00102851
5,4114.98,1.48201,2.33387,1.37326,0.66377,0.39669,0.32294,0.20733,1.46545,2.87968,1.38022,0.00100101,0.00100101,0.00100101
6,5086.31,1.45094,2.20494,1.35864,0.69211,0.37576,0.3774,0.24692,1.43463,2.31535,1.36738,0.000973514,0.000973514,0.000973514
7,6042.23,1.43007,1.98026,1.31349,0.56994,0.55548,0.50974,0.30885,1.34351,1.96547,1.33767,0.000946016,0.000946016,0.000946016
8,6840.99,1.42128,1.83675,1.32638,0.81973,0.39798,0.41683,0.2458,1.51323,1.94709,1.42244,0.000918519,0.000918519,0.000918519
9,7657.4,1.39947,1.82226,1.30462,0.72962,0.39798,0.40411,0.27528,1.40925,2.05746,1.33627,0.000891022,0.000891022,0.000891022
10,8383.93,1.37483,1.73202,1.3065,0.58045,0.3685,0.39653,0.26698,1.41091,1.85869,1.42698,0.000863525,0.000863525,0.000863525
11,9123.56,1.34341,1.68333,1.26517,0.61564,0.42294,0.44435,0.28816,1.34981,1.6933,1.34555,0.000836027,0.000836027,0.000836027
12,9975.71,1.34862,1.60469,1.25295,0.72033,0.43129,0.39841,0.26903,1.23147,1.67526,1.23877,0.00080853,0.00080853,0.00080853
13,11101.3,1.30192,1.55474,1.25001,0.79579,0.4202,0.49189,0.30703,1.40632,1.61471,1.3228,0.000781033,0.000781033,0.000781033
14,12233.7,1.30182,1.55688,1.2382,0.77638,0.40621,0.43254,0.29731,1.24239,1.65888,1.28224,0.000753536,0.000753536,0.000753536
15,13364.1,1.29961,1.50664,1.2287,0.78499,0.48138,0.52827,0.34919,1.223,1.41538,1.25281,0.000726038,0.000726038,0.000726038
16,14496.9,1.29128,1.46397,1.24243,0.56618,0.50505,0.5168,0.33031,1.27721,1.58843,1.30784,0.000698541,0.000698541,0.000698541
17,15615.4,1.26119,1.3705,1.22079,0.87284,0.4359,0.48987,0.31918,1.33183,1.35593,1.36093,0.000671044,0.000671044,0.000671044
18,16581,1.27092,1.38698,1.22478,0.87284,0.45657,0.59167,0.38719,1.29957,1.35357,1.29371,0.000643547,0.000643547,0.000643547
19,17325.1,1.25822,1.35078,1.20638,0.71407,0.43838,0.52166,0.3575,1.28738,1.46069,1.26809,0.000616049,0.000616049,0.000616049
20,18081,1.20349,1.26075,1.18651,0.79609,0.47809,0.53617,0.34187,1.29247,1.36884,1.30487,0.000588552,0.000588552,0.000588552
21,18833,1.20872,1.28178,1.19435,0.91021,0.38384,0.5482,0.3522,1.24563,1.38202,1.24158,0.000561055,0.000561055,0.000561055
22,19573.4,1.20633,1.2474,1.18669,0.63781,0.67879,0.738,0.44431,1.3035,1.26198,1.29541,0.000533558,0.000533558,0.000533558
23,20343.7,1.20545,1.21765,1.17897,0.98744,0.4962,0.66181,0.43601,1.22444,1.10525,1.24412,0.00050606,0.00050606,0.00050606
24,21119.6,1.18693,1.17557,1.17975,0.4668,0.62766,0.63878,0.41531,1.25801,1.16351,1.28125,0.000478563,0.000478563,0.000478563
25,21913.4,1.17103,1.17178,1.1665,0.9452,0.53137,0.60849,0.40604,1.25979,1.09229,1.2462,0.000451066,0.000451066,0.000451066
26,22682.8,1.1437,1.14187,1.15636,0.74524,0.71515,0.77285,0.46356,1.23653,1.03433,1.28577,0.000423569,0.000423569,0.000423569
27,23440.6,1.11533,1.09603,1.13793,0.73015,0.7596,0.75155,0.50307,1.24924,1.06721,1.24032,0.000396071,0.000396071,0.000396071
28,24180.8,1.12855,1.07689,1.13447,0.87827,0.51919,0.54678,0.36336,1.19885,1.11753,1.23159,0.000368574,0.000368574,0.000368574
29,24998.6,1.13143,1.0568,1.1379,0.86141,0.48283,0.5551,0.38872,1.20866,1.11713,1.24253,0.000341077,0.000341077,0.000341077
30,26260.3,1.09012,1.02792,1.11706,0.48695,0.80404,0.76772,0.50667,1.26041,0.9887,1.24477,0.00031358,0.00031358,0.00031358
31,27206.8,1.06013,0.9947,1.10952,0.95785,0.54545,0.63412,0.41916,1.26332,1.03423,1.23062,0.000286083,0.000286083,0.000286083
32,28099.2,1.02531,0.89134,1.08281,0.95855,0.56364,0.6719,0.45306,1.14511,0.93362,1.22306,0.000258585,0.000258585,0.000258585
33,28924,1.01775,0.89445,1.08876,0.66246,0.7596,0.74882,0.46851,1.25143,1.00396,1.27097,0.000231088,0.000231088,0.000231088
34,29924.5,1.00156,0.84631,1.08496,0.74684,0.77866,0.76423,0.52359,1.25033,0.92483,1.25727,0.000203591,0.000203591,0.000203591
35,30786,0.97794,0.80767,1.076,0.44709,0.7596,0.76542,0.52898,1.26006,0.86236,1.24892,0.000176094,0.000176094,0.000176094
