epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,896.95,1.54542,3.73865,1.42707,0.67054,0.24823,0.31104,0.19151,1.54467,3.86677,1.43217,0.000366435,0.000366435,0.000366435
2,1775.37,1.45244,2.85126,1.33049,0.77498,0.33903,0.32514,0.19263,1.51921,3.28723,1.49829,0.000718533,0.000718533,0.000718533
3,2693.25,1.47728,2.61287,1.37167,0.63266,0.39116,0.35271,0.23466,1.4568,3.2564,1.3753,0.0010523,0.0010523,0.0010523
4,3595.6,1.45312,2.37159,1.33209,0.6773,0.35758,0.34863,0.20872,1.5466,2.76414,1.5913,0.00102851,0.00102851,0.00102851
5,4466.97,1.44844,2.19355,1.33998,0.66765,0.38833,0.35526,0.21897,1.42344,2.47824,1.36622,0.00100101,0.00100101,0.00100101
6,5357.74,1.43482,2.0559,1.32683,0.68996,0.36162,0.34476,0.20741,1.61757,2.67898,1.51004,0.000973514,0.000973514,0.000973514
7,6305.48,1.39732,1.89816,1.30768,0.75955,0.40922,0.39784,0.26041,1.3904,2.1261,1.32876,0.000946016,0.000946016,0.000946016
8,7601.68,1.38294,1.83906,1.30258,0.56636,0.50452,0.45549,0.28076,1.43742,1.89603,1.31805,0.000918519,0.000918519,0.000918519
9,8722.49,1.38281,1.79283,1.28588,0.77353,0.4202,0.42743,0.27062,1.36644,1.85552,1.27426,0.000891022,0.000891022,0.000891022
10,9698.73,1.36547,1.69861,1.27981,0.9908,0.34154,0.45946,0.28553,1.38584,1.74205,1.37956,0.000863525,0.000863525,0.000863525
11,10716.6,1.33896,1.6538,1.25609,0.86244,0.36886,0.54969,0.34434,1.43377,1.6718,1.35866,0.000836027,0.000836027,0.000836027
12,11740.9,1.31751,1.6017,1.24277,0.82717,0.40606,0.47894,0.3271,1.23107,1.6062,1.22925,0.00080853,0.00080853,0.00080853
13,12741.6,1.29604,1.53601,1.24249,0.50929,0.62222,0.53425,0.33208,1.34539,1.55592,1.29384,0.000781033,0.000781033,0.000781033
14,13626.3,1.23886,1.48476,1.20052,0.88907,0.38866,0.55554,0.36552,1.25429,1.51658,1.25314,0.000753536,0.000753536,0.000753536
15,14512.9,1.26107,1.45191,1.22764,0.87158,0.44646,0.60991,0.35988,1.33122,1.39649,1.26153,0.000726038,0.000726038,0.000726038
16,15422.4,1.24594,1.43015,1.19164,0.82657,0.44478,0.68245,0.49774,1.17289,1.30908,1.19362,0.000698541,0.000698541,0.000698541
17,16311.6,1.21369,1.37558,1.19406,0.8499,0.42424,0.58315,0.39468,1.20778,1.27954,1.18626,0.000671044,0.000671044,0.000671044
18,17231.6,1.22649,1.33025,1.19863,0.66375,0.65657,0.69427,0.42592,1.23802,1.31398,1.19406,0.000643547,0.000643547,0.000643547
19,18145.8,1.21086,1.31224,1.17978,0.83795,0.43838,0.55742,0.37491,1.19814,1.34229,1.1963,0.000616049,0.000616049,0.000616049
20,19065.2,1.19596,1.25375,1.17479,0.82549,0.44597,0.56315,0.37062,1.18361,1.34018,1.16564,0.000588552,0.000588552,0.000588552
21,20004.3,1.17919,1.24455,1.16252,0.53755,0.59394,0.75755,0.48248,1.28443,1.20388,1.22483,0.000561055,0.000561055,0.000561055
22,20905.8,1.18477,1.22414,1.17616,0.70034,0.74141,0.73467,0.49162,1.21661,1.22417,1.21468,0.000533558,0.000533558,0.000533558
