epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,699.145,1.7462,5.25119,1.73126,0.2468,0.43813,0.12716,0.07221,1.6446,5.53838,1.7075,0.000361516,0.000361516,0.000361516
2,1398.96,1.6308,4.33216,1.6371,0.51316,0.32525,0.19268,0.10969,1.59241,5.05203,1.59955,0.000707698,0.000707698,0.000707698
3,2110.99,1.65833,4.00958,1.60086,0.55626,0.4202,0.23514,0.13629,1.76735,5.4296,1.83443,0.00102944,0.00102944,0.00102944
4,2825.31,1.65282,3.82457,1.60369,0.63979,0.31785,0.29702,0.20041,1.99036,5.69348,2.38224,0.00100101,0.00100101,0.00100101
5,3536.79,1.60769,3.65261,1.59912,0.70079,0.2404,0.28141,0.15801,2.32188,5.09542,2.62211,0.000964348,0.000964348,0.000964348
6,4273.31,1.64741,3.53982,1.61514,0.69555,0.29899,0.27906,0.17415,1.55758,4.03206,1.52713,0.000927685,0.000927685,0.000927685
7,5016.87,1.61737,3.30864,1.55886,0.69491,0.34058,0.33328,0.19304,1.98842,3.67065,2.29938,0.000891022,0.000891022,0.000891022
8,5762.11,1.5294,3.18074,1.50513,0.63191,0.32179,0.28874,0.17689,2.2604,4.30989,2.38918,0.000854359,0.000854359,0.000854359
9,6510.03,1.52478,2.95747,1.50834,0.644,0.35758,0.38334,0.2346,1.60878,3.62773,1.66238,0.000817696,0.000817696,0.000817696
10,7232.01,1.53894,2.84756,1.47961,0.6497,0.3798,0.36319,0.19759,1.69999,3.15894,1.57832,0.000781033,0.000781033,0.000781033
11,7947.49,1.46291,2.74293,1.44945,0.6867,0.3798,0.40597,0.24438,1.77904,2.89846,1.89198,0.00074437,0.00074437,0.00074437
12,8684.84,1.48075,2.72511,1.44951,0.68817,0.39535,0.40631,0.24999,1.53456,3.02726,1.76892,0.000707707,0.000707707,0.000707707
13,9470.12,1.41995,2.53284,1.39698,0.67263,0.42424,0.3518,0.22196,1.60347,2.6784,1.54241,0.000671044,0.000671044,0.000671044
14,10237.8,1.43882,2.43778,1.3776,0.48831,0.43838,0.37781,0.23744,1.38267,2.58274,1.33823,0.000634381,0.000634381,0.000634381
15,11092.1,1.4307,2.40666,1.41071,0.6799,0.45253,0.39286,0.23757,1.48017,2.48638,1.45394,0.000597718,0.000597718,0.000597718
16,11959.9,1.37135,2.36034,1.36865,0.42961,0.32523,0.36397,0.20179,1.64064,2.7846,1.6155,0.000561055,0.000561055,0.000561055
17,14975.5,1.40449,2.3324,1.39135,0.72579,0.45657,0.38953,0.21552,1.72804,2.4045,1.68647,0.000524392,0.000524392,0.000524392
18,16609.6,1.36273,2.19952,1.37195,0.73919,0.50505,0.4469,0.2569,1.22367,2.57294,1.32187,0.000487729,0.000487729,0.000487729
19,18701.3,1.32899,2.08352,1.33712,0.84731,0.45481,0.43844,0.25564,1.3533,2.22408,1.39843,0.000451066,0.000451066,0.000451066
