epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5614,1.82905,4.29759,1.66664,0.00258,0.25177,0.12615,0.08592,1.56851,4.36773,1.50568,0.00019998,0.00019998,0.00019998
2,140.153,1.58379,3.46908,1.38724,0.00667,0.46869,0.21397,0.13496,1.53827,3.85109,1.33404,0.000397505,0.000397505,0.000397505
3,202.326,1.56778,2.92951,1.33491,0.88854,0.15055,0.27669,0.16684,1.73226,3.42141,1.42437,0.000581097,0.000581097,0.000581097
4,270.227,1.49514,2.64344,1.30435,0.64354,0.23025,0.18853,0.12281,1.65079,3.15015,1.39528,0.000750758,0.000750758,0.000750758
5,336.612,1.56068,2.59223,1.34552,0.69628,0.28081,0.25665,0.14916,1.56654,3.01876,1.38031,0.000906487,0.000906487,0.000906487
6,401.983,1.58456,2.53516,1.38335,0.71436,0.33412,0.30651,0.16397,1.8854,2.89435,1.59376,0.000927685,0.000927685,0.000927685
7,465.738,1.48755,2.43958,1.36611,0.69744,0.37366,0.28629,0.16663,1.609,3.30203,1.66392,0.000891022,0.000891022,0.000891022
8,528.07,1.43921,2.33573,1.28572,0.4842,0.32121,0.27086,0.17221,1.60623,4.90914,1.37681,0.000854359,0.000854359,0.000854359
9,590.719,1.4609,2.36462,1.33096,0.69885,0.39202,0.31213,0.19809,1.32642,2.83546,1.26904,0.000817696,0.000817696,0.000817696
10,654.955,1.38187,2.20488,1.27487,0.46002,0.30707,0.28789,0.18204,1.34608,2.65739,1.27921,0.000781033,0.000781033,0.000781033
11,743.239,1.46099,2.22465,1.31163,0.78048,0.4202,0.40166,0.23676,1.2875,2.51928,1.21999,0.00074437,0.00074437,0.00074437
12,876.591,1.38224,2.10447,1.30074,0.7677,0.29642,0.35138,0.23139,1.32438,2.57629,1.29371,0.000707707,0.000707707,0.000707707
13,939.409,1.37933,1.98749,1.29756,0.51481,0.33535,0.32034,0.20888,1.71661,2.5625,1.46376,0.000671044,0.000671044,0.000671044
14,1002.13,1.34949,1.92187,1.23649,0.80012,0.31717,0.37667,0.22082,1.51725,2.44016,1.26635,0.000634381,0.000634381,0.000634381
15,1064.46,1.3075,1.87262,1.20335,0.77323,0.31529,0.35777,0.22417,1.27293,2.26641,1.17864,0.000597718,0.000597718,0.000597718
16,1126.69,1.25742,1.79197,1.20946,0.70804,0.32121,0.34209,0.21634,1.23776,2.28513,1.214,0.000561055,0.000561055,0.000561055
17,1204.11,1.32703,1.8939,1.2218,0.73865,0.42921,0.45631,0.24165,1.5371,2.20878,1.42856,0.000524392,0.000524392,0.000524392
18,1281.84,1.31229,1.87149,1.26201,0.5344,0.32464,0.41762,0.23598,1.56286,2.22669,1.46908,0.000487729,0.000487729,0.000487729
19,1344.16,1.26044,1.81438,1.21562,0.58146,0.45005,0.45022,0.25285,1.50418,2.25573,1.41679,0.000451066,0.000451066,0.000451066
20,1408.1,1.33275,1.81677,1.23509,0.79944,0.36566,0.44288,0.26128,1.35724,2.03267,1.29413,0.000414403,0.000414403,0.000414403
21,1470.15,1.22643,1.95493,1.19293,0.34618,0.58677,0.4651,0.26166,1.40222,2.13875,1.26395,0.00037774,0.00037774,0.00037774
22,1531.29,1.20394,1.91579,1.19191,0.72226,0.36566,0.55472,0.27345,1.40543,2.19519,1.26159,0.000341077,0.000341077,0.000341077
23,1593.14,1.19868,1.89825,1.17509,0.81741,0.32525,0.59387,0.35046,1.29127,2.02329,1.18821,0.000304414,0.000304414,0.000304414
24,1656.8,1.09995,1.78176,1.13807,0.56101,0.38788,0.5998,0.40969,1.24736,1.92766,1.17873,0.000267751,0.000267751,0.000267751
25,1719.11,1.15309,1.76348,1.13904,0.5163,0.69495,0.61711,0.39645,1.21532,1.94105,1.16636,0.000231088,0.000231088,0.000231088
26,1813.87,1.10896,1.74999,1.11532,0.3751,0.66407,0.57416,0.34389,1.24975,2.04868,1.17583,0.000194425,0.000194425,0.000194425
27,1913.78,1.06689,1.70108,1.10309,0.4316,0.62828,0.55646,0.30016,1.24187,2.08935,1.16499,0.000157762,0.000157762,0.000157762
28,1982.38,1.08399,1.61205,1.1082,0.65528,0.53857,0.53416,0.28562,1.22217,2.13332,1.16672,0.000121099,0.000121099,0.000121099
29,2045.01,1.10658,1.62581,1.10637,0.70847,0.51896,0.54121,0.29755,1.23919,2.09187,1.17708,8.4436e-05,8.4436e-05,8.4436e-05
30,2109.75,1.02137,1.5385,1.08528,0.72924,0.53439,0.54715,0.29232,1.24632,2.08102,1.18425,4.7773e-05,4.7773e-05,4.7773e-05
