epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.29,1.78294,4.42189,1.67336,1,0.07816,0.16498,0.11553,1.37924,3.89618,1.28713,0.000361516,0.000361516,0.000361516
2,761.746,1.65212,3.50711,1.51889,0.64861,0.29899,0.271,0.17553,1.28044,3.39585,1.31641,0.000695623,0.000695623,0.000695623
3,1077.93,1.66935,3.41653,1.48678,0.55673,0.31717,0.26411,0.17794,1.68888,4.05285,1.60079,0.000993066,0.000993066,0.000993066
4,1392.35,1.61491,3.09874,1.47759,0.67594,0.27677,0.27851,0.18973,1.68309,3.31973,1.77185,0.000946016,0.000946016,0.000946016
5,1732.66,1.55899,2.89273,1.43433,0.84982,0.34156,0.32158,0.2273,1.46544,2.87675,1.31115,0.000891022,0.000891022,0.000891022
6,2090.48,1.53458,2.80666,1.382,0.70469,0.39962,0.35252,0.21664,1.62431,2.78031,1.67932,0.000836027,0.000836027,0.000836027
7,2473.89,1.48079,2.63696,1.36824,0.69742,0.36162,0.32314,0.22464,1.20072,2.65725,1.23865,0.000781033,0.000781033,0.000781033
8,2846.58,1.54545,2.62752,1.38559,0.6869,0.28644,0.33323,0.21533,1.47378,2.49461,1.38309,0.000726038,0.000726038,0.000726038
9,3215.29,1.55887,2.61879,1.42168,0.70124,0.40626,0.3809,0.22651,1.56907,2.61636,1.589,0.000671044,0.000671044,0.000671044
10,3584.43,1.41791,2.37452,1.34484,0.74259,0.28517,0.3398,0.21408,1.24822,2.41447,1.25866,0.000616049,0.000616049,0.000616049
11,3953.1,1.4656,2.76128,1.40387,0.70725,0.31313,0.36582,0.21734,1.76682,2.75126,1.7066,0.000561055,0.000561055,0.000561055
12,4457.77,1.38548,2.52842,1.33647,0.71646,0.4202,0.35198,0.21873,1.40704,2.4462,1.28841,0.00050606,0.00050606,0.00050606
13,4800.03,1.40205,2.43927,1.34052,0.73032,0.40202,0.41439,0.2693,1.374,2.23728,1.2785,0.000451066,0.000451066,0.000451066
14,5157.79,1.36395,2.34743,1.32848,0.59542,0.60202,0.45899,0.26726,1.35478,1.9783,1.31635,0.000396071,0.000396071,0.000396071
15,5500.36,1.3267,2.24115,1.30264,0.69716,0.52386,0.58528,0.28087,1.34857,1.97474,1.24887,0.000341077,0.000341077,0.000341077
16,5858.91,1.3311,2.23566,1.29435,0.65314,0.63125,0.53559,0.31999,1.35133,2.00229,1.26024,0.000286083,0.000286083,0.000286083
17,6223.71,1.28,2.16573,1.25022,0.33622,0.50505,0.50059,0.27517,1.26695,1.98929,1.23417,0.000231088,0.000231088,0.000231088
18,6560.06,1.22498,2.01798,1.22674,0.59218,0.44646,0.49107,0.25809,1.33274,1.87956,1.26669,0.000176094,0.000176094,0.000176094
19,6882.07,1.2243,1.99976,1.22136,0.44849,0.69914,0.5531,0.29754,1.28354,1.79511,1.23955,0.000121099,0.000121099,0.000121099
20,7205.29,1.2118,1.99368,1.22701,0.70896,0.60202,0.65892,0.30907,1.34379,1.78446,1.26574,6.61045e-05,6.61045e-05,6.61045e-05
